MALDE, PARESH J.:  2:
MAHLER, KURT:  2:
LIU, JIUQIANG:  2:
LINIAL, NATHAN:  2:
LICK, DON RAYMOND:  2:
LEHEL, JENO:  2:
KOSTOCHKA, ALEXANDR V.:  2:
KOMJATH, PETER:  2:
KOKSMA, JURJEN FERDINAND:  2:
KLAMKIN, MURRAY SEYMOUR:  2:
KISS, PETER:  2:
KELLY, PAUL JOSEPH:  2:
KAPLANSKY, IRVING:  2:
JONES, FRED B.:  2:
JIN, GUO PING:  2:
JACKSON, STEPHEN CRAIG:  2:
HWANG, JUN SHUNG (JAMES):  2:
HOLZMAN, RON:  2:
HICKERSON, DEAN ROBERT:  2:
HEDETNIEMI, STEPHEN TRAVIS:  2:
HECHLER, STEPHEN HERMAN:  2:
HARARY, FRANK:  2:
HANANI, HAIM (CHOJNACKI):  2:
GYORI, ERVIN:  2:
GRUNBAUM, BRANKO:  2:
GRANVILLE, ANDREW JAMES:  2:
GINZBURG, ABRAHAM:  2:
FOWLER, JOEL CHRISTOPHER:  2:
EVANS, ANTHONY BRIAN:  2:
ELEKES, GYORGY:  2:
ECKLUND, EARL FRANK, JR.:  2:
DESHOUILLERS, JEAN-MARC:  2:
DAYKIN, DAVID E.:  2:
DARLING, DONALD ALLAN:  2:
CAMERON, PETER JEPHSON:  2:
CALKIN, NEIL JAMES:  2:
BROWN, THOMAS CRAIG:  2:
BONDY, JOHN ADRIAN:  2:
BOALS, ALFRED JOHN:  2:
BAUMGARTNER, JAMES EARL:  2:
AVIS, DAVID MICHAEL:  2:
ALAOGLU, LEONIDAS:  2:
